theta_B_deg,kdf,residual_norm,radius_residual,length_residual,sigma_E_rad,theta_Rao_E_deg,mass_residual,performance_residual,rao_exit_residual,thrust_coefficient,thrust_coefficient_target,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
25.03125,0.135,0.18181128609280828,-0.15203979598837006,-0.25444530073928473,0.1063368262629306,6.652864969300786,1.2847240953017522e-09,-0.261548609765248,0.9157936287292704,1.1423319932883824,1.5469291660826012,3.090214636397557,3.090214636397557,0.0,20.066136582055606,20.066136582055606,0.0,0.0,12.7455163209826,3.156715468078784,True,0,ok
25.03125,0.13874999999999998,0.1648314776245829,-0.13590244702485418,-0.2263198258050407,0.10871112816976396,6.264268026728295,1.3914255661584407e-08,-0.2527030077908348,0.9943202946707808,1.15601551297416,1.5469291660826012,3.1242096629578944,3.1242096629578944,0.0,19.81167829484313,19.81167829484313,0.0,0.0,12.492956856961523,3.1931821792208055,True,0,ok
25.03125,0.1425,0.14839267023536604,-0.11998347601495998,-0.19819710221935746,0.11127905415649152,5.881133179875501,1.4109075255577835e-08,-0.24428175247404607,1.0841142270322903,1.1690425984387287,1.5469291660826012,3.1571724261906464,3.1571724261906464,0.0,19.57542921288541,19.57542921288541,0.0,0.0,12.256953331250186,3.228490682008355,True,0,ok
25.03125,0.14625,0.13202311299497715,-0.1036115768593928,-0.16893365487963374,0.11408930048156338,5.477302407553113,8.154412445281585e-10,-0.23624522402179893,1.1934406608952721,1.1814745386955625,1.5469291660826012,3.191031009501891,3.191031009501891,0.0,19.322149336847712,19.322149336847712,0.0,0.0,12.014137812746565,3.2650099761538742,True,0,ok
25.03125,0.15,0.11681062451578299,-0.08756544232485428,-0.13985803053398682,0.11707344107400601,5.0823063890146045,1.2948506665437673e-08,-0.22860972515454622,1.3198366161302302,1.1932861145909064,1.5469291660826012,3.2235913108175676,3.2235913108175676,0.0,19.091423911972566,19.091423911972566,0.0,0.0,11.790120455628688,3.300039075071044,True,0,ok
25.03125,0.15375,0.10255474156855497,-0.07108884990645466,-0.10964818741789803,0.12031656357096626,4.6667879000312515,1.1363212363559594e-09,-0.22133031716306498,1.4771683320100475,1.2045468431247435,1.5469291660826012,3.2569457167844273,3.2569457167844273,0.0,18.84597931747506,18.84597931747506,0.0,0.0,11.560419198165087,3.33615335973575,True,0,ok
25.03125,0.1575,0.0905844469414868,-0.05479728895298072,-0.07938208788212062,0.1237431506385866,4.253945174943305,6.342790355540441e-10,-0.2144203955126644,1.666678808416256,1.2152360024610938,1.5469291660826012,3.2894273499208846,3.2894273499208846,0.0,18.615234476742355,18.615234476742355,0.0,0.0,11.343905450185895,3.3712944776423694,True,0,ok
25.03125,0.16125,0.08170481663135715,-0.038240704917615,-0.04824899649342028,0.12742336523209902,3.8261696807447008,4.896497982784166e-10,-0.20785022590921984,1.908127879402442,1.2253995894467715,1.5469291660826012,3.3222324522203546,3.3222324522203546,0.0,18.378445169966184,18.378445169966184,0.0,0.0,11.126990719898007,3.4069361626214336,True,0,ok
25.03125,0.16499999999999998,0.07744218111434255,-0.021679293504107366,-0.01674514110216339,0.1313068266689562,3.39452101808173,6.397792497506539e-10,-0.2016222700438533,2.216314746414068,1.2350337960199822,1.5469291660826012,3.3545822071488396,3.3545822071488396,0.0,18.148942422440097,18.148942422440097,0.0,0.0,10.917848007468763,3.4421163068382445,True,0,ok
25.03125,0.16875,0.07874216818296921,-0.005059041599518265,0.015305564971610714,0.1354294389320844,2.9534443681473928,2.096629083249142e-09,-0.19571414978712548,2.6272833699930085,1.244173239561838,1.5469291660826012,3.3868292841255214,3.3868292841255214,0.0,17.920827990362145,17.920827990362145,0.0,0.0,10.712979640780548,3.477264114307333,True,0,ok
